Rank	Inst	In-deg	Out-deg
156	pai chai university,daejeon,KR	4	0
157	ajou university,suwon,KR	8	3
158	sungshin women’s university,seoul,KR	6	1
159	pohang university of science and technology,pohang,KR	21	15
160	wonkwang university,iksan,KR	5	0
161	inha university,incheon,KR	8	2
162	sangmyung university,seoul,KR	6	0
163	hannam university,daejeon,KR	9	2
164	kunsan national university,gunsan,KR	7	0
165	jeju national university,jeju,KR	8	1
166	daegu university,gyeongsan,KR	7	0
167	chungnam national university,daejeon,KR	12	4
168	chungbuk national university,cheongju,KR	12	4
169	hallym university,chuncheon,KR	8	0
170	university of ulsan,ulsan,KR	10	1
171	dongguk university,gyeongju,KR	9	0
172	kyung hee university,yongin,KR	10	1
173	university of seoul,seoul,KR	9	0
174	jeonbuk national university,jeonju,KR	16	6
175	"incheon national university,_x0008_incheon,KR
"	10	0
176	sogang university,seoul,KR	12	2
177	chung-ang university,seoul,KR	18	7
178	kyung hee university,seoul,KR	15	4
179	gangneung-wonju national university,gangneung,KR	12	0
180	chonnam national university,gwangju,KR	21	6
181	korea university,seoul,KR	34	17
182	ewha womans university,seoul,KR	20	1
183	gyeongsang national university,jinju,KR	26	5
184	yonsei university,seoul,KR	34	12
