Rank	Inst
198	utrecht university,utrecht,NL
199	hanbat national university,daejeon,KR
200	university of ulsan,ulsan,KR
201	sun moon university,cheonan,KR
202	catholic university of korea,seoul,KR
203	gachon university,seongnam,KR
204	university of texas at houston,houston,US
205	seowon university,cheongju,KR
206	dongguk university,seoul,KOREA
207	kumoh national institute of technology,gumi,KR
208	jungwon university,goesan,KR
209	yeungnam national university,gyeongsan,KR
210	singapore management university,bras basah,SINGAPORE
211	donga university,pusan,KR
212	kangwon national university,chuncheon-si,KR
213	tongmyong university of information,busan,KR
214	seokyeong university,seoul,KR
215	baekseok university,cheonanl,KR
216	youngsan university,pusan,KR
217	kyungdong university,wonju,KR
218	pukyong national university,busan,KR
219	kyungil university,kyungsan,KR
220	gyeonggi university of science and technology,suwon,KR
221	sunghyunkwan university,seoul,KR
222	korea military academy,seoul,KR
223	state university of new york at stony brook at korea,songdo,KR
224	university of wisconsin-milwaukee ,milwaukee,US
225	tongmyong university,busan,KR
226	university of suwon,suwon,KR
227	north dakota state university,fargo,US
228	university of north carolina at charlotte,charlotte,US
229	george washington university,washington dc,US
230	gyeongnam national university of science and technology,jinju,KR
231	yongin university,yongin,KR
233	sungkyul university,anyang,KR
234	wonju national university,gangneung,KR
235	georgia southern university,statesboro,US
236	gangneung wonju national university,gangneung,KR
237	ajou university,gyeonggi-do,KR
238	national university of singapore,singapore,SG
239	university of north carloina,charlotte,US
240	kyungnam university,masan,KR
241	korea university,sejong ,KR
242	university of seoul,seoul,KR
243	sangji university,seoul,KR
244	yeungnam university,daegu,KR
245	konkuk university glocal campus,chungju,KR
246	old dominion university,norfolk,US
247	university of hawaii,hawaii,US
248	state university of new york korea,incheon,KR
249	lakehead university,thunder bay and orillia,CA
250	chongju national college of science and technology,cheongju,KR
251	suny korea,incheon,KR
252	roswell park cancer institute,buffalo,US
253	baylor university,waco,US
254	university of eswatini,kwaluseni,SZ
255	dongguk university,gyeongju,KR
256	innopolis university,innopolis,RU
257	university of south florida,hillsborough county,US
258	temple university,philadelphia,US
259	cleveland state university,cleveland,US
260	sahmyook university,seoul,KR
261	mongolia international university,ulaanbaatar,MONGOLIA
262	choong-ang university,seoul,KR
263	university of wisconsin-whitewater,whitewater,US
264	missouri state university,springfield,US
265	the university of aizu,aizuwakamatsu,JP
266	benedict college,columbia,US
267	seoul venture university,seoul,KR
268	dong-a university,busan,KR
269	daewon university college,jecheon,KR
270	center for advanced studies in engineering,islamabad,PK
271	ewha womans university,seoul,KR
272	sogang university,seoul,KR
273	kyungnam university,changwon,KR
274	hanyang university,ansan,KOREA
275	busan university of foreign studies,busan,KR
276	soonchunhyang university,asan,KR
277	kongju national university,gongju,KR
278	baekseok university,cheonan,KR
279	korea nazarene university,cheonan,KR
280	pusan university of foreign language,busan,KR
281	tongmyung university,busan,KR
282	university of pittsburgh,pittsburgh,US
283	dongyang university,yeongju,KR
284	daegu gyeongbuk institute of science and technology,daegu,KR
285	miryang national university,miryang,KR
286	seonam university,namwon,KR
287	korea university,sejong,KR
288	semyung university,jecheon,KR
289	chosun university,gwangju,KR
290	mokpo national maritime university,mokpo,KR
291	youngsan university,busan,KR
292	the university of suwon,hwaseong,KR
293	catholic kwangdong university,gangneung,KR
294	jeju national university,jeju,KR
295	sunchon national university,sunchon,KR
296	hanyang university,seoul,KR
297	soonchunhang university,asan,KR
298	myongji university,seoul,KR
299	korea national university of transportation,chungju,KR
300	gyeongsang national university,jinju,KR
301	hannam university,daejeon,KR
302	dongseo university,busan,KR
303	pai chai university,daejeon,KR
304	jeonbuk national university,jeonju,KR
305	andong national university,andong,KR
306	sangji university,wonju,KR
307	daegu university,daegu,KR
