0	1
seoul national university,seoul,KR	hankuk university of foreign studies,seoul,KR
seoul national university,seoul,KR	sogang university,seoul,KR
seoul national university,seoul,KR	sogang university,seoul,KR
seoul national university,seoul,KR	university of seoul,seoul,KR
seoul national university,seoul,KR	university of seoul,seoul,KR
seoul national university,seoul,KR	university of seoul,seoul,KR
seoul national university,seoul,KR	university of seoul,seoul,KR
seoul national university,seoul,KR	kyungpook national university,daegu,KR
seoul national university,seoul,KR	kyungpook national university,daegu,KR
seoul national university,seoul,KR	kyungpook national university,daegu,KR
seoul national university,seoul,KR	kyungpook national university,daegu,KR
seoul national university,seoul,KR	ajou university,suwon,KR
seoul national university,seoul,KR	ajou university,suwon,KR
seoul national university,seoul,KR	ajou university,suwon,KR
seoul national university,seoul,KR	ajou university,suwon,KR
seoul national university,seoul,KR	inha university,incheon,KR
seoul national university,seoul,KR	inha university,incheon,KR
seoul national university,seoul,KR	pukyong national university,busan,KR
seoul national university,seoul,KR	chung-ang university,seoul,KR
seoul national university,seoul,KR	chung-ang university,seoul,KR
seoul national university,seoul,KR	university of ulsan,ulsan,KR
seoul national university,seoul,KR	university of ulsan,ulsan,KR
sungkyunkwan university,suwon,KR	sejong university,seoul,KR
sungkyunkwan university,suwon,KR	sejong university,seoul,KR
sungkyunkwan university,suwon,KR	kyung hee university,seoul,KR
sungkyunkwan university,suwon,KR	pukyong national university,busan,KR
sungkyunkwan university,suwon,KR	kangwon national university,chuncheon,KR
sungkyunkwan university,suwon,KR	changwon national university,changwon,KR
sungkyunkwan university,suwon,KR	gachon university,seongnam,KR
sungkyunkwan university,suwon,KR	kyungpook national university,daegu,KR
sungkyunkwan university,suwon,KR	inha university,incheon,KR
chonnam national university,gwangju,KR	sunchon national university,suncheon,KR
korea advanced institute of science and technology,daejeon,KR	yeungnam university,gyeongsan,KR
korea advanced institute of science and technology,daejeon,KR	yeungnam university,gyeongsan,KR
korea advanced institute of science and technology,daejeon,KR	yeungnam university,gyeongsan,KR
korea advanced institute of science and technology,daejeon,KR	dankook university,cheonan,KR
korea advanced institute of science and technology,daejeon,KR	korea university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	korea university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	korea university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	korea university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	pusan national university,busan,KR
korea advanced institute of science and technology,daejeon,KR	pusan national university,busan,KR
korea advanced institute of science and technology,daejeon,KR	pusan national university,busan,KR
korea advanced institute of science and technology,daejeon,KR	andong national university,andong,KR
korea advanced institute of science and technology,daejeon,KR	andong national university,andong,KR
korea advanced institute of science and technology,daejeon,KR	andong national university,andong,KR
korea advanced institute of science and technology,daejeon,KR	ulsan national institute of science and technology,ulsan,KR
korea advanced institute of science and technology,daejeon,KR	ulsan national institute of science and technology,ulsan,KR
korea advanced institute of science and technology,daejeon,KR	chonnam national university,gwangju,KR
korea advanced institute of science and technology,daejeon,KR	chonnam national university,gwangju,KR
korea advanced institute of science and technology,daejeon,KR	kunsan national university,gunsan,KR
korea advanced institute of science and technology,daejeon,KR	kongju national university,gongju,KR
korea advanced institute of science and technology,daejeon,KR	kookmin university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	kumoh national institute of technology,gumi,KR
korea advanced institute of science and technology,daejeon,KR	kumoh national institute of technology,gumi,KR
korea advanced institute of science and technology,daejeon,KR	dongguk university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	mokpo national university,muan,KR
korea advanced institute of science and technology,daejeon,KR	konkuk university,chungju,KR
korea advanced institute of science and technology,daejeon,KR	jeonbuk national university,jeonju,KR
korea advanced institute of science and technology,daejeon,KR	jeju national university,jeju,KR
korea advanced institute of science and technology,daejeon,KR	chungnam national university,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	chungnam national university,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	chungnam national university,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	chungnam national university,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	seoul national university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	seoul national university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	seoul national university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	seoul national university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	seoul national university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	seoul national university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	chungbuk national university,cheongju,KR
korea advanced institute of science and technology,daejeon,KR	chungbuk national university,cheongju,KR
korea advanced institute of science and technology,daejeon,KR	chungbuk national university,cheongju,KR
korea advanced institute of science and technology,daejeon,KR	chungbuk national university,cheongju,KR
korea advanced institute of science and technology,daejeon,KR	university of science and technology,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	pohang university of science and technology,pohang,KR
korea advanced institute of science and technology,daejeon,KR	hanyang university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	hanyang university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	hanyang university,ansan,KR
korea advanced institute of science and technology,daejeon,KR	kwangwoon university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	kwangwoon university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	dong-a university,busan,KR
korea advanced institute of science and technology,daejeon,KR	pukyong national university,busan,KR
korea advanced institute of science and technology,daejeon,KR	korea advanced institute of science and technology,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	korea advanced institute of science and technology,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	korea advanced institute of science and technology,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	korea advanced institute of science and technology,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	korea advanced institute of science and technology,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	sogang university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	kyungpook national university,daegu,KR
korea advanced institute of science and technology,daejeon,KR	kyungpook national university,daegu,KR
korea advanced institute of science and technology,daejeon,KR	ajou university,suwon,KR
korea advanced institute of science and technology,daejeon,KR	ajou university,suwon,KR
korea advanced institute of science and technology,daejeon,KR	inha university,incheon,KR
korea advanced institute of science and technology,daejeon,KR	inha university,incheon,KR
korea advanced institute of science and technology,daejeon,KR	chung-ang university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	chung-ang university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	chung-ang university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	university of ulsan,ulsan,KR
korea advanced institute of science and technology,daejeon,KR	university of ulsan,ulsan,KR
korea advanced institute of science and technology,daejeon,KR	university of ulsan,ulsan,KR
yeungnam university,gyeongsan,KR	yeungnam university,gyeongsan,KR
myongji university,seoul,KR	yeungnam university,gyeongsan,KR
yonsei university,seoul,KR	yeungnam university,gyeongsan,KR
yonsei university,seoul,KR	sun moon university,asan,KR
yonsei university,seoul,KR	pusan national university,busan,KR
yonsei university,seoul,KR	sungkyunkwan university,suwon,KR
yonsei university,seoul,KR	kunsan national university,gunsan,KR
yonsei university,seoul,KR	kunsan national university,gunsan,KR
yonsei university,seoul,KR	kangwon national university,chuncheon,KR
yonsei university,seoul,KR	kookmin university,seoul,KR
yonsei university,seoul,KR	kookmin university,seoul,KR
yonsei university,seoul,KR	kookmin university,seoul,KR
yonsei university,seoul,KR	daegu university,gyeongsan,KR
yonsei university,seoul,KR	dankook university,yongin,KR
yonsei university,seoul,KR	jeju national university,jeju,KR
yonsei university,seoul,KR	dong-a university,busan,KR
yonsei university,seoul,KR	dong-a university,busan,KR
yonsei university,seoul,KR	soonchunhyang university,asan,KR
yonsei university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
yonsei university,seoul,KR	pohang university of science and technology,pohang,KR
yonsei university,seoul,KR	yonsei university,seoul,KR
yonsei university,seoul,KR	yonsei university,seoul,KR
yonsei university,seoul,KR	ajou university,suwon,KR
yonsei university,seoul,KR	chung-ang university,seoul,KR
yonsei university,seoul,KR	university of ulsan,ulsan,KR
yonsei university,seoul,KR	yonsei university,wonju,KR
dankook university,cheonan,KR	dankook university,cheonan,KR
korea university,seoul,KR	pusan national university,busan,KR
korea university,seoul,KR	pusan national university,busan,KR
korea university,seoul,KR	korea university,seoul,KR
korea university,seoul,KR	chonnam national university,gwangju,KR
korea university,seoul,KR	chonnam national university,gwangju,KR
korea university,seoul,KR	kunsan national university,gunsan,KR
korea university,seoul,KR	konkuk university,seoul,KR
korea university,seoul,KR	gyeongsang national university,jinju,KR
korea university,seoul,KR	gyeongsang national university,jinju,KR
korea university,seoul,KR	jeju national university,jeju,KR
korea university,seoul,KR	jeju national university,jeju,KR
korea university,seoul,KR	chungbuk national university,cheongju,KR
korea university,seoul,KR	chungbuk national university,cheongju,KR
korea university,seoul,KR	chungbuk national university,cheongju,KR
korea university,seoul,KR	jeonbuk national university,jeonju,KR
korea university,seoul,KR	seoul national university,seoul,KR
korea university,seoul,KR	soonchunhyang university,asan,KR
korea university,seoul,KR	kyungpook national university,daegu,KR
korea university,seoul,KR	inha university,incheon,KR
korea university,seoul,KR	inha university,incheon,KR
kyung hee university,seoul,KR	kyung hee university,seoul,KR
kyung hee university,seoul,KR	andong national university,andong,KR
kyung hee university,seoul,KR	jeju national university,jeju,KR
pusan national university,busan,KR	kangwon national university,chuncheon,KR
pusan national university,busan,KR	pukyong national university,busan,KR
pusan national university,busan,KR	pukyong national university,busan,KR
pusan national university,busan,KR	pukyong national university,busan,KR
pusan national university,busan,KR	pukyong national university,busan,KR
pusan national university,busan,KR	university of ulsan,ulsan,KR
pohang university of science and technology,pohang,KR	korea university,seoul,KR
pohang university of science and technology,pohang,KR	korea university,seoul,KR
pohang university of science and technology,pohang,KR	pusan national university,busan,KR
pohang university of science and technology,pohang,KR	pusan national university,busan,KR
pohang university of science and technology,pohang,KR	sungkyunkwan university,suwon,KR
pohang university of science and technology,pohang,KR	ulsan national institute of science and technology,ulsan,KR
pohang university of science and technology,pohang,KR	chonnam national university,gwangju,KR
pohang university of science and technology,pohang,KR	kunsan national university,gunsan,KR
pohang university of science and technology,pohang,KR	daegu university,gyeongsan,KR
pohang university of science and technology,pohang,KR	gyeongsang national university,jinju,KR
pohang university of science and technology,pohang,KR	jeonbuk national university,jeonju,KR
pohang university of science and technology,pohang,KR	chungnam national university,daejeon,KR
pohang university of science and technology,pohang,KR	chungnam national university,daejeon,KR
pohang university of science and technology,pohang,KR	pohang university of science and technology,pohang,KR
pohang university of science and technology,pohang,KR	pohang university of science and technology,pohang,KR
pohang university of science and technology,pohang,KR	hanyang university,seoul,KR
pohang university of science and technology,pohang,KR	pukyong national university,busan,KR
pohang university of science and technology,pohang,KR	korea advanced institute of science and technology,daejeon,KR
pohang university of science and technology,pohang,KR	korea advanced institute of science and technology,daejeon,KR
pohang university of science and technology,pohang,KR	korea advanced institute of science and technology,daejeon,KR
pohang university of science and technology,pohang,KR	soongsil university,seoul,KR
pohang university of science and technology,pohang,KR	chung-ang university,seoul,KR
soganguniversity,seoul,KR	korea university,seoul,KR
ewha womans university,seoul,KR	pusan national university,busan,KR
ewha womans university,seoul,KR	chungbuk national university,cheongju,KR
ewha womans university,seoul,KR	kyungpook national university,daegu,KR
ewha womans university,seoul,KR	soongsil university,seoul,KR
ewha womans university,seoul,KR	ajou university,suwon,KR
korea national university of education,cheongju,KR	pusan national university,busan,KR
konkuk university,seoul,KR	konkuk university,seoul,KR
kyungpook national university,daegu,KR	andong national university,andong,KR
kyungpook national university,daegu,KR	daegu university,gyeongsan,KR
kyungpook national university,daegu,KR	gangneung-wonju national university,gangneung,KR
