Rank	Inst	In-deg	Out-deg
160	imperical college london,london,UK	0	1
161	kyushu university,fukuoka,JP	0	1
162	oklahoma state university,stillwater,US	0	1
163	stony brook university,stony brook,US	0	1
164	university of texas at dallas,arlington,US	0	1
165	university of auckland,auckland,NZ	0	1
166	indiana university bloomington,bloomington,US	0	1
167	university of minnesota-twin cities,minneapolis,US	0	1
168	university of massachusetts amherst,amherst,US	0	1
169	illinois unstitute of technology,chicago,US	0	1
170	university of texas,arlington,US	0	1
171	university of massachusetts,lowell,US	0	1
172	new jersey unstitute of technology,newark,US	0	1
173	university of missouri,kansas city,US	0	1
174	pennsylvania state university,centre county,US	0	1
175	insitute national des sciences appliquees de lyon,villeurbanne,FR	0	1
176	new york university,new york city,US	0	1
177	korea advanced institute of science and technology munji camus,daejeon,KR	0	1
178	university of bonn,bonn,DE	0	1
179	university of wisconsin,madison,US	0	1
180	university of delaware,newark,US	0	1
181	hokkaido university,sapporo,JP	0	1
182	university of toronto,toronto,CA	0	1
183	university of cailfornia,los angeles,US	0	1
184	university of new south wales,sydney,AU	0	1
185	kangwon national university,chuncheon,KR	1	2
186	tokai university,tokyo,JP	0	1
187	institute national des sciences appliquees de lyon,villeurbanne,FR	0	1
188	gwangju institute of science and techology,gwangju,KR	0	1
189	kent state university,kent,US	0	1
190	louisiana state university,baton rouge,US	0	1
191	university of iowa,iowa city,US	1	2
192	kangwoon university,seoul,KR	0	1
193	university of north texas,denton,US	0	1
194	university of central florida,orlando,US	1	1
195	mokwon university,daejeon,KR	1	1
196	pennsylvania state university,college park,US	1	1
197	imperial college london,london,UK	1	1
198	utrecht university,utrecht,NL	1	1
199	hanbat national university,daejeon,KR	1	0
200	university of ulsan,ulsan,KR	1	0
201	sun moon university,cheonan,KR	1	0
202	catholic university of korea,seoul,KR	1	0
203	gachon university,seongnam,KR	1	0
204	university of texas at houston,houston,US	1	0
205	seowon university,cheongju,KR	1	0
206	dongguk university,seoul,KOREA	1	0
207	kumoh national institute of technology,gumi,KR	1	0
208	jungwon university,goesan,KR	1	0
209	yeungnam national university,gyeongsan,KR	1	0
210	singapore management university,bras basah,SINGAPORE	1	0
211	donga university,pusan,KR	1	0
212	kangwon national university,chuncheon-si,KR	1	0
213	tongmyong university of information,busan,KR	1	0
214	seokyeong university,seoul,KR	1	0
215	baekseok university,cheonanl,KR	1	0
216	youngsan university,pusan,KR	1	0
217	kyungdong university,wonju,KR	1	0
218	pukyong national university,busan,KR	1	0
219	kyungil university,kyungsan,KR	1	0
220	gyeonggi university of science and technology,suwon,KR	1	0
221	sunghyunkwan university,seoul,KR	1	0
222	korea military academy,seoul,KR	1	0
223	state university of new york at stony brook at korea,songdo,KR	1	0
224	university of wisconsin-milwaukee ,milwaukee,US	1	0
225	tongmyong university,busan,KR	1	0
226	university of suwon,suwon,KR	1	0
227	north dakota state university,fargo,US	1	0
228	university of north carolina at charlotte,charlotte,US	1	0
229	george washington university,washington dc,US	1	0
230	gyeongnam national university of science and technology,jinju,KR	1	0
231	yongin university,yongin,KR	1	0
233	sungkyul university,anyang,KR	1	0
234	wonju national university,gangneung,KR	1	0
235	georgia southern university,statesboro,US	1	0
236	gangneung wonju national university,gangneung,KR	1	0
237	ajou university,gyeonggi-do,KR	1	0
238	national university of singapore,singapore,SG	1	0
239	university of north carloina,charlotte,US	1	0
240	kyungnam university,masan,KR	1	0
241	korea university,sejong ,KR	1	0
242	university of seoul,seoul,KR	1	0
243	sangji university,seoul,KR	1	0
244	yeungnam university,daegu,KR	1	0
245	konkuk university glocal campus,chungju,KR	1	0
246	old dominion university,norfolk,US	1	0
247	university of hawaii,hawaii,US	1	0
248	state university of new york korea,incheon,KR	1	0
249	lakehead university,thunder bay and orillia,CA	1	0
