Rank	Inst	In-deg	Out-deg
162	sungkyunkwan university,suwon, KR	1	0
163	university of ulsan,ulsan,KR	10	0
164	kwangwoon university,seoul,KR	10	0
165	kookmin university,seoul,KR	10	0
166	kyung hee university,seoul,KR	14	3
167	sejong university,seoul,KR	11	0
168	ulsan national institute of science and technology,ulsan,KR	16	3
169	"incheon national university,_x0008_incheon,KR
"	12	0
170	kyungpook national university,daegu,KR	17	4
171	soongsil university,seoul,KR	13	0
172	chungnam national university,daejeon,KR	16	2
173	hanyang university,seoul,KR	15	1
174	konkuk university,seoul,KR	15	1
175	pukyong national university,busan,KR	13	0
176	chung-ang university,seoul,KR	14	0
177	jeonbuk national university,jeonju,KR	16	1
178	pusan national university,busan,KR	21	6
179	chungbuk national university,cheongju,KR	16	0
180	ajou university,suwon,KR	16	0
181	inha university,incheon,KR	16	0
182	chonnam national university,gwangju,KR	19	1
