0	1
korea university,seoul,KR	chonnam national university,gwangju,KR
korea university,seoul,KR	sejong university,seoul,KR
korea university,seoul,KR	yonsei university,seoul,KR
korea university,seoul,KR	hallym university,chuncheon,KR
korea university,seoul,KR	sangmyung university,seoul,KR
korea university,seoul,KR	kyung hee university,seoul,KR
korea university,seoul,KR	kunsan national university,gunsan,KR
korea university,seoul,KR	kunsan national university,gunsan,KR
korea university,seoul,KR	korea university,seoul,KR
korea university,seoul,KR	korea university,seoul,KR
korea university,seoul,KR	korea university,seoul,KR
korea university,seoul,KR	university of science and technology,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	chungbuk national university,cheongju,KR
korea advanced institute of science and technology,daejeon,KR	chungnam national university,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	chungnam national university,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	pohang university of science and technology,pohang,KR
korea advanced institute of science and technology,daejeon,KR	pohang university of science and technology,pohang,KR
korea advanced institute of science and technology,daejeon,KR	pohang university of science and technology,pohang,KR
korea advanced institute of science and technology,daejeon,KR	pohang university of science and technology,pohang,KR
korea advanced institute of science and technology,daejeon,KR	chung-ang university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	chung-ang university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	inha university,incheon,KR
korea advanced institute of science and technology,daejeon,KR	inha university,incheon,KR
korea advanced institute of science and technology,daejeon,KR	pai chai university,daejeon,KR
korea advanced institute of science and technology,daejeon,KR	chonnam national university,gwangju,KR
korea advanced institute of science and technology,daejeon,KR	chonnam national university,gwangju,KR
korea advanced institute of science and technology,daejeon,KR	chonnam national university,gwangju,KR
korea advanced institute of science and technology,daejeon,KR	sungkyunkwan university,suwon,KR
korea advanced institute of science and technology,daejeon,KR	sungshin women’s university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	ajou university,suwon,KR
korea advanced institute of science and technology,daejeon,KR	yonsei university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	"incheon national university,_x0008_incheon,KR
"
korea advanced institute of science and technology,daejeon,KR	ewha womans university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	ewha womans university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	ewha womans university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	pukyong national university,busan,KR
korea advanced institute of science and technology,daejeon,KR	dongguk university,gyeongju,KR
korea advanced institute of science and technology,daejeon,KR	dongguk university,gyeongju,KR
korea advanced institute of science and technology,daejeon,KR	sangji university,wonju,KR
korea advanced institute of science and technology,daejeon,KR	gyeongsang national university,jinju,KR
korea advanced institute of science and technology,daejeon,KR	gyeongsang national university,jinju,KR
korea advanced institute of science and technology,daejeon,KR	gyeongsang national university,jinju,KR
korea advanced institute of science and technology,daejeon,KR	gyeongsang national university,jinju,KR
korea advanced institute of science and technology,daejeon,KR	kyung hee university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	kyung hee university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	korea university,seoul,KR
korea advanced institute of science and technology,daejeon,KR	chonnam national university,yeosu,KR
chung-ang university,seoul,KR	chungbuk national university,cheongju,KR
chung-ang university,seoul,KR	hannam university,daejeon,KR
chung-ang university,seoul,KR	chung-ang university,seoul,KR
chung-ang university,seoul,KR	sangji university,wonju,KR
chung-ang university,seoul,KR	pukyong national university,busan,KR
chung-ang university,seoul,KR	kunsan national university,gunsan,KR
chung-ang university,seoul,KR	gangneung-wonju national university,gangneung,KR
pohang university of science and technology,pohang,KR	chungbuk national university,cheongju,KR
pohang university of science and technology,pohang,KR	sungkyunkwan university,suwon,KR
pohang university of science and technology,pohang,KR	pohang university of science and technology,pohang,KR
pohang university of science and technology,pohang,KR	pohang university of science and technology,pohang,KR
pohang university of science and technology,pohang,KR	pohang university of science and technology,pohang,KR
pohang university of science and technology,pohang,KR	daegu gyeongbuk institute of science and technology,daegu,KR
pohang university of science and technology,pohang,KR	gyeongsang national university,jinju,KR
pohang university of science and technology,pohang,KR	gyeongsang national university,jinju,KR
pohang university of science and technology,pohang,KR	chung-ang university,seoul,KR
pohang university of science and technology,pohang,KR	chonnam national university,gwangju,KR
pohang university of science and technology,pohang,KR	seoul national university,seoul,KR
pohang university of science and technology,pohang,KR	yonsei university,seoul,KR
pohang university of science and technology,pohang,KR	hallym university,chuncheon,KR
pohang university of science and technology,pohang,KR	university of ulsan,ulsan,KR
pohang university of science and technology,pohang,KR	kyung hee university,yongin,KR
university of southern california,los angeles,US	chungbuk national university,cheongju,KR
